<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SBS,20150424,2.5000,2.5000,2.4000,2.5000,71200,2.5000,2.5000,2.4000,2.5000,0,0,0
SBS,20150423,2.5000,2.6000,2.4000,2.6000,105730,2.5000,2.6000,2.4000,2.6000,0,0,0
SBS,20150422,2.5000,2.6000,2.5000,2.6000,222801,2.5000,2.6000,2.5000,2.6000,0,0,0
SBS,20150421,2.4000,2.6000,2.3000,2.5000,653400,2.4000,2.6000,2.3000,2.5000,0,0,0
SBS,20150420,2.5000,2.5000,2.4000,2.4000,441100,2.5000,2.5000,2.4000,2.4000,0,0,0
SBS,20150417,2.6000,2.6000,2.4000,2.4000,271200,2.6000,2.6000,2.4000,2.4000,0,0,0
SBS,20150416,2.5000,2.6000,2.5000,2.6000,241808,2.5000,2.6000,2.5000,2.6000,50000,0,0
SBS,20150415,2.5000,2.6000,2.4000,2.6000,115650,2.5000,2.6000,2.4000,2.6000,0,0,0
SBS,20150414,2.5000,2.6000,2.5000,2.5000,203800,2.5000,2.6000,2.5000,2.5000,0,0,0
SBS,20150413,2.6000,2.6000,2.5000,2.6000,176687,2.6000,2.6000,2.5000,2.6000,0,0,0
SBS,20150410,2.6000,2.7000,2.5000,2.6000,181250,2.6000,2.7000,2.5000,2.6000,0,0,0
SBS,20150409,2.7000,2.7000,2.6000,2.7000,268076,2.7000,2.7000,2.6000,2.7000,0,0,0
SBS,20150408,2.7000,2.7000,2.5000,2.6000,41200,2.7000,2.7000,2.5000,2.6000,0,0,0
SBS,20150407,2.6000,2.7000,2.4000,2.7000,423600,2.6000,2.7000,2.4000,2.7000,0,0,0
SBS,20150406,2.7000,2.7000,2.5000,2.5000,89300,2.7000,2.7000,2.5000,2.5000,0,0,0
SBS,20150403,2.7000,2.7000,2.6000,2.7000,249300,2.7000,2.7000,2.6000,2.7000,0,0,0
SBS,20150402,2.6000,2.7000,2.5000,2.7000,338800,2.6000,2.7000,2.5000,2.7000,0,0,0
SBS,20150401,2.6000,2.7000,2.6000,2.7000,432100,2.6000,2.7000,2.6000,2.7000,0,0,0
SBS,20150331,2.8000,2.8000,2.6000,2.7000,257410,2.8000,2.8000,2.6000,2.7000,0,0,0
SBS,20150330,2.8000,2.8000,2.7000,2.7000,325810,2.8000,2.8000,2.7000,2.7000,0,0,0
SBS,20150327,2.8000,2.9000,2.7000,2.7000,355100,2.8000,2.9000,2.7000,2.7000,0,10000,0
SBS,20150326,2.9000,2.9000,2.8000,2.8000,305500,2.9000,2.9000,2.8000,2.8000,0,0,0
